SUBJECT: DK_729_POST_INJ_7-25-13
DATE: 25-Jul-2013

START TIME: 14:54:48

TIME_(s)	X_POSITION_(cm)	Y_POSITION_(cm)	ORIENTATION_(degrees)	LENGTH_(cm)
1050.211	40.49	21.39	-50.57	7.97
1050.834	37.47	14.94	-49.32	6.70
1051.106	29.87	9.09	-4.82	7.61
1051.939	25.19	19.87	53.90	7.47
1052.147	21.02	24.95	29.24	7.73
1052.546	6.73	35.81	41.90	7.62
1052.755	4.24	38.94	35.20	7.27
1053.299	5.56	37.80	-1.49	5.16
1055.506	6.97	45.68	-77.21	7.10
1055.778	17.82	56.50	-20.02	7.32
1056.049	30.69	56.40	27.21	6.66
1056.467	38.11	52.73	59.78	7.93
1058.179	42.63	46.12	69.64	6.86
1058.514	46.49	32.66	-86.95	7.60
1058.802	44.72	27.37	-59.67	7.55
1059.074	42.83	25.25	-46.79	7.95
1059.410	39.25	21.52	-34.75	8.27
1060.786	29.27	17.21	-24.45	7.25
1060.995	19.54	13.06	-19.79	7.60
1061.201	14.71	11.43	-12.67	7.74
1062.018	13.98	12.27	43.86	7.19
1062.291	14.81	13.23	80.32	7.08
1062.705	18.22	32.66	-71.69	7.77
1062.914	23.76	42.55	-52.49	7.14
1063.186	34.69	50.91	-39.23	7.34
1063.458	42.20	54.67	-35.96	7.89
1063.731	51.51	57.26	25.80	7.43
1063.938	53.69	54.66	76.45	7.21
1064.147	53.93	52.15	-78.74	8.07
1064.498	53.51	51.08	-73.91	8.07
1065.041	52.48	49.53	-61.40	7.85
1065.313	49.29	44.04	-57.29	7.89
1065.938	49.26	45.16	-29.25	7.01
1066.755	45.88	46.61	1.34	7.65
1067.026	31.55	49.71	-9.41	7.39
1067.297	22.86	48.65	-39.70	7.71
1067.651	21.80	48.72	-37.93	6.53
1067.858	17.00	50.56	-1.50	7.03
1068.066	11.09	51.30	-41.94	7.27
1068.466	10.01	47.95	80.17	7.82
1069.635	12.12	47.44	33.32	7.72
1069.906	23.36	40.07	45.70	7.49
1070.194	26.71	31.18	72.82	7.61
1070.467	30.33	18.26	75.20	6.85
1070.738	34.87	9.09	46.99	7.19
1071.010	38.95	5.88	34.11	7.52
1071.634	48.80	5.75	-1.43	7.51
1071.905	51.61	6.71	-35.29	7.39
1072.514	52.08	5.82	-3.86	5.67
1072.802	51.78	7.51	-77.81	6.39
1073.074	50.74	14.29	59.45	7.06
1073.346	49.80	19.75	80.79	7.40
1073.762	50.13	38.79	81.25	6.81
1074.034	46.43	48.55	40.04	7.35
1074.306	36.77	51.95	-0.45	7.59
1074.642	32.53	52.61	-12.85	7.83
1074.930	28.21	51.33	-31.08	7.57
1075.602	16.33	52.47	-17.53	7.30
1075.890	12.00	51.17	-63.11	7.42
1077.122	12.89	52.17	-85.96	6.17
1077.393	13.92	52.09	62.39	6.48
1077.667	27.01	46.17	33.48	6.99
1077.937	35.37	37.99	71.41	7.31
1078.211	34.84	30.28	-78.99	8.00
1078.627	33.93	29.47	-60.02	8.09
1079.458	35.20	26.36	88.31	7.37
1079.730	32.07	16.94	-44.24	7.53
1080.002	24.73	12.83	-27.71	7.74
1080.274	18.87	11.33	-17.06	7.85
1080.627	14.42	10.96	-17.02	7.77
1080.898	11.22	8.71	-34.86	8.00
1081.170	7.63	5.40	-41.06	8.05
1081.585	6.53	4.34	-30.94	7.91
1082.130	7.43	5.47	0.89	6.68
1084.194	8.52	5.25	-28.46	4.46
1085.426	7.60	3.81	-53.27	7.56
1085.969	8.60	5.77	47.65	5.50
1086.178	10.70	9.54	-72.66	7.59
1086.594	23.39	30.04	-63.26	7.13
1086.994	36.82	50.25	-32.32	7.29
1087.282	47.20	52.07	40.72	6.72
1087.619	49.89	49.81	68.36	8.02
1089.202	48.64	49.08	-59.51	7.45
1089.539	45.32	47.00	-39.42	7.70
1090.643	45.04	48.45	0.50	6.73
1090.915	32.27	53.94	3.23	7.20
1091.187	25.06	53.75	-52.46	7.34
1093.794	34.24	47.64	40.69	7.07
1094.002	40.31	39.37	70.70	7.30
1094.274	41.92	30.70	-84.09	7.33
1094.625	41.16	24.59	-73.21	7.56
1094.897	42.96	18.65	-88.40	6.44
1095.170	40.47	10.34	-43.44	7.53
1095.779	35.62	8.36	-8.14	7.40
1096.067	32.75	8.58	-0.80	8.01
1096.609	33.88	9.83	39.31	6.92
1096.882	29.94	24.09	62.28	7.08
1097.154	23.12	38.19	44.49	7.60
1097.506	14.39	44.00	16.50	7.67
1097.777	9.67	47.87	34.90	8.08
1098.049	4.11	54.38	41.97	7.80
1098.467	3.39	56.58	-9.19	6.42
1098.674	2.81	55.67	-48.56	6.73
1098.946	1.78	53.71	59.54	7.24
1100.113	11.31	49.87	37.59	7.82
1100.515	12.87	48.31	41.51	8.69
1101.410	24.28	43.79	46.93	7.41
1101.682	32.77	31.22	65.20	7.37
1101.891	36.18	21.79	68.96	7.06
1102.163	38.29	15.31	69.08	7.94
1103.538	40.54	14.38	46.11	7.63
1103.810	42.21	13.07	84.08	7.66
1104.081	41.56	10.74	-69.11	7.97
1104.642	35.93	8.58	-24.98	7.26
1104.914	27.48	6.03	-18.11	7.84
1105.187	20.89	5.23	-10.85	7.64
1105.602	17.80	5.01	-7.15	6.79
1105.873	17.82	7.65	58.60	7.05
1106.146	14.78	19.24	70.96	7.71
1106.561	11.51	29.20	65.70	7.71
1106.834	12.13	36.45	-71.44	7.85
1107.106	19.69	46.71	-48.53	7.37
1107.458	33.89	53.67	-5.63	7.57
1107.730	46.71	52.46	21.58	7.16
1108.002	51.11	47.79	75.82	7.82
1108.274	50.84	46.37	-84.42	8.30
1108.898	50.13	43.74	-73.83	7.78
1109.170	47.70	39.42	-65.17	8.04
1110.610	38.94	40.74	-16.71	7.47
1110.882	32.55	37.74	-38.71	7.62
1111.155	31.22	36.38	-42.47	7.77
1112.115	31.97	37.12	-34.54	6.20
1112.466	27.69	41.74	30.02	7.09
1112.738	17.04	51.45	14.75	6.97
1113.010	10.72	52.96	-55.78	7.32
1113.635	10.16	49.04	86.63	7.73
1114.595	9.58	50.13	86.01	6.41
1115.139	19.45	46.76	27.83	7.20
1115.474	36.22	36.59	62.70	7.38
1115.762	38.70	29.88	84.43	8.06
1116.305	37.01	25.74	-54.54	7.39
1116.722	33.09	21.58	-43.26	7.93
1116.994	26.49	17.35	-36.74	7.39
1117.267	20.27	12.17	-42.73	7.83
1118.018	21.03	12.92	-48.88	6.66
1118.978	22.08	13.75	-15.84	5.74
1119.250	20.51	21.79	68.67	6.96
1119.603	15.21	42.36	64.07	7.40
1119.874	13.77	50.99	86.81	7.63
1120.147	18.77	55.64	-37.06	7.28
1120.563	39.61	56.56	14.82	6.98
1120.770	45.66	52.93	58.23	7.31
1121.457	45.50	51.72	-88.10	7.91
1121.730	42.42	39.99	-77.49	7.24
1121.938	40.38	29.93	-88.19	7.09
1122.210	41.59	18.58	76.55	7.12
1122.546	41.72	11.42	-52.86	7.98
1122.754	40.62	12.00	-30.98	7.71
1123.026	30.10	9.75	-12.29	7.62
1123.298	21.21	8.72	-10.12	7.39
1123.715	8.69	10.50	46.56	7.76
1123.987	4.99	19.21	70.05	8.20
1124.258	3.72	28.95	85.88	7.96
1124.610	2.70	46.53	87.71	7.91
1124.883	2.71	54.82	-69.81	7.81
1125.154	3.87	55.18	-27.70	7.60
1125.569	12.29	55.38	28.01	7.82
1127.489	17.16	55.65	14.55	6.77
1127.763	34.22	51.68	33.86	6.91
1128.034	39.93	47.53	64.54	7.95
1129.411	44.43	31.88	89.98	7.14
1129.682	44.13	20.80	-76.04	7.07
1129.955	41.92	16.53	-53.09	7.76
1130.243	34.85	10.54	-32.27	6.99
1130.643	30.89	9.15	-6.17	7.76
1131.203	25.92	10.09	11.16	7.25
1131.539	14.77	12.30	5.25	7.61
1131.811	13.10	12.81	14.41	7.65
1132.082	11.88	14.18	30.23	7.18
1132.563	11.83	29.37	80.34	6.92
1132.849	10.92	44.14	-89.36	7.26
1133.122	12.64	52.62	-53.21	7.90
1133.523	30.05	57.02	-7.18	6.91
1133.811	42.73	56.24	18.00	7.11
1134.082	47.91	51.94	65.21	8.27
1134.483	47.83	43.11	-86.11	7.52
1134.771	47.47	36.56	-88.16	7.24
1135.043	46.94	23.80	-82.87	7.57
1135.315	44.56	18.59	-52.28	7.41
1135.795	31.33	11.93	-15.20	7.15
1136.067	22.34	10.73	-8.56	7.27
1136.483	15.51	12.72	41.16	7.58
1136.755	11.35	20.19	53.74	7.65
1137.027	8.43	32.10	77.52	7.63
1137.298	5.84	46.82	73.98	7.67
1137.715	4.45	53.00	63.83	7.32
1138.883	4.61	51.95	50.73	5.36
1140.179	14.19	53.91	2.32	7.09
1140.594	25.32	49.20	52.13	7.81
1141.554	29.53	48.40	32.93	7.02
1141.826	42.07	38.87	62.62	7.23
1142.115	47.11	27.09	73.86	7.47
1142.594	48.61	12.56	-74.06	7.68
1143.618	47.86	11.60	-44.81	7.42
1143.890	40.77	9.96	11.48	7.29
1144.161	39.46	10.08	15.82	7.37
1144.850	33.69	12.45	18.69	6.79
1145.123	22.20	13.61	-0.46	7.33
1145.538	18.10	13.16	-0.85	7.27
1145.810	13.67	21.19	60.80	7.13
1146.082	8.78	33.51	60.08	7.77
1146.498	6.36	44.35	53.84	7.90
1146.770	2.54	53.08	72.62	7.74
1147.043	3.21	55.46	-59.43	7.06
1147.730	5.05	55.21	-16.28	7.72
1148.002	19.24	54.18	22.55	7.04
1148.290	21.77	53.07	36.05	7.88
1149.169	28.45	53.21	17.36	6.81
1149.585	41.30	40.38	78.24	7.35
1149.858	41.18	34.81	-81.83	7.78
1150.481	40.83	33.45	-61.26	7.66
1150.754	36.56	28.44	-55.50	7.52
1151.026	34.32	23.64	-70.12	7.67
1151.298	34.14	22.62	-69.95	8.23
1151.714	33.67	21.25	-73.71	7.92
1152.946	33.49	19.22	-87.66	7.68
1153.218	33.92	13.27	-87.19	7.62
1153.634	33.96	10.89	-79.19	8.24
1153.906	32.98	8.27	-64.23	8.39
1154.178	31.51	7.62	-49.52	8.15
1154.594	24.15	3.24	-25.64	8.09
1154.866	20.22	2.69	-20.64	7.81
1155.138	16.46	2.65	-13.39	8.36
1155.491	11.39	6.22	50.18	7.70
1156.659	15.90	13.38	-73.34	7.14
1156.931	19.62	21.20	-78.51	8.20
1157.555	37.02	33.78	-45.84	6.80
1157.827	47.69	47.75	84.42	7.41
1158.034	45.55	52.75	26.12	7.45
1158.435	40.11	54.29	-8.65	7.97
1159.267	38.96	53.78	-38.78	7.40
1159.683	36.71	51.25	-72.85	7.11
1160.018	40.78	47.73	62.96	6.65
1160.291	45.69	34.88	-85.72	7.17
1160.706	43.50	21.05	-71.12	7.21
1160.978	38.20	14.19	-26.66	7.31
1161.251	30.91	13.02	-1.80	7.43
1161.603	20.65	13.08	-3.69	7.43
1161.874	19.52	12.72	-5.02	7.90
1162.146	16.34	14.20	15.30	7.29
1162.563	8.65	27.15	63.98	7.87
1162.835	6.36	41.80	78.32	7.93
1163.170	8.04	54.61	-56.97	7.67
1163.586	26.77	57.15	-1.94	7.13
1163.859	43.00	55.78	7.93	6.80
1164.130	48.86	52.59	57.17	7.30
1164.546	49.93	48.41	88.41	8.34
1165.506	48.86	35.09	-84.06	7.30
1165.779	48.24	30.90	-79.03	7.98
1166.130	47.76	18.75	-80.18	7.09
1166.530	44.20	10.90	-42.82	7.42
1166.817	40.41	9.65	3.33	7.69
1167.506	33.98	10.53	6.30	7.31
1167.778	20.92	12.10	5.83	7.22
1168.114	12.58	12.98	19.26	7.74
1168.529	10.44	22.51	71.23	7.38
1168.801	11.09	32.30	-84.42	7.66
1169.074	11.89	49.22	79.19	7.38
1169.555	9.82	55.24	77.20	7.55
1169.826	10.94	55.10	-53.62	7.09
1170.098	23.37	57.90	7.52	7.14
1170.594	37.23	49.21	80.83	7.65
1170.866	37.16	46.69	89.65	7.80
1172.643	45.38	25.34	72.73	7.12
1172.914	46.57	14.43	-77.71	7.34
1173.265	42.50	9.56	-50.83	7.80
1173.682	40.72	8.30	-33.62	8.58
1174.018	38.02	7.51	-22.03	8.09
1174.292	35.32	6.98	-22.11	7.94
1174.834	34.41	5.39	-56.88	7.85
1175.523	35.84	5.81	81.52	6.85
1176.561	29.98	9.16	29.91	7.37
1176.898	28.67	9.96	31.69	7.60
1177.249	29.09	19.20	75.40	7.14
1177.586	22.47	38.94	48.82	7.10
1177.859	13.00	47.47	13.13	7.30
1178.130	7.53	49.36	-26.00	7.05
1178.611	7.03	47.69	-73.36	7.46
1178.883	6.21	44.47	-86.31	7.70
1179.650	6.80	45.48	53.79	6.74
1179.921	7.91	45.69	22.51	7.04
1180.194	22.78	44.89	8.50	6.44
1180.610	43.09	38.16	48.26	6.85
1180.881	48.70	28.52	61.42	6.86
1181.154	50.73	15.85	-69.28	6.68
1181.634	47.19	12.03	-15.32	7.62
1182.529	39.50	11.76	2.34	7.13
1182.804	32.80	13.17	17.91	7.47
1183.074	28.82	20.76	54.40	7.35
1183.490	24.12	25.87	8.29	7.47
1183.826	22.88	26.66	8.61	7.49
1184.098	16.82	32.10	36.88	7.30
1184.578	3.27	49.90	75.54	7.75
1184.867	4.37	54.25	-58.66	7.25
1185.139	16.41	57.63	-10.04	6.91
1185.474	24.39	56.88	13.55	8.86
1185.747	33.60	54.44	16.37	6.68
1186.033	46.82	47.79	64.51	7.17
1186.306	47.29	42.81	-82.38	8.21
1186.994	44.23	31.98	-74.10	7.13
1187.266	42.07	21.33	-80.84	7.33
1187.811	33.61	14.60	-13.06	7.09
1188.161	17.30	12.06	-9.02	6.99
1188.641	10.93	10.27	-32.45	6.73
1189.666	14.75	5.95	-0.40	7.53
1189.939	20.82	6.60	-15.60	7.26
1190.275	31.51	11.33	-45.69	7.21
1190.690	42.56	18.30	-31.53	7.53
1191.315	52.00	32.56	-80.50	6.35
1191.731	51.56	49.62	47.60	7.45
1192.002	47.20	52.89	10.36	7.85
1192.338	45.74	52.25	-3.08	8.77
1192.818	43.85	51.69	-16.09	9.73
1193.505	42.49	51.43	-18.52	9.29
1194.611	39.58	50.50	-18.44	10.04
1194.946	40.59	50.97	-24.13	8.95
1195.218	43.26	50.50	-47.52	6.98
1195.698	43.40	25.60	-78.33	6.27
1195.971	43.50	10.82	-49.62	6.35
1196.257	35.37	7.55	15.90	7.01
1196.659	32.02	9.15	34.07	7.25
1198.515	33.96	13.73	88.48	7.03
1198.866	35.42	33.75	84.21	7.37
1199.139	34.35	44.16	56.53	7.42
1199.618	32.90	49.00	70.13	6.76
1199.891	35.93	52.05	-57.79	7.48
1200.225	49.58	57.21	22.98	6.69
1200.643	52.87	53.00	88.56	7.55
1201.746	49.30	43.87	-52.80	7.47
1202.563	41.79	20.80	-55.07	7.09
1202.914	38.60	16.16	-49.94	7.40
1203.251	30.92	12.02	-3.67	7.50
1203.731	19.94	11.79	-5.19	7.68
1204.003	14.37	11.88	-17.30	7.19
1204.754	15.30	11.28	-44.77	6.04
1205.522	17.27	13.48	61.13	6.31
1205.794	20.79	27.20	-80.33	7.14
1206.130	29.10	46.36	-72.39	7.41
1206.547	30.50	50.61	84.93	6.67
1207.570	32.02	50.46	-36.38	7.10
1207.842	43.55	51.55	18.92	7.05
1208.130	47.05	47.29	80.94	7.83
1210.114	44.95	27.74	-70.77	6.77
1210.594	38.96	17.91	-0.30	7.44
1211.218	36.39	29.63	72.94	7.26
1211.699	24.13	48.11	8.95	6.76
1211.971	12.55	48.97	-22.26	7.55
1212.306	9.80	47.46	-57.30	8.08
1212.786	8.24	46.49	-65.37	7.07
1214.162	9.46	46.12	69.21	7.27
1214.642	15.35	44.77	-1.69	7.69
1214.914	19.34	45.87	1.71	8.11
1215.602	27.57	46.64	21.79	7.77
1215.875	30.27	45.27	35.60	7.87
1216.835	30.75	46.30	3.43	7.42
1217.122	44.29	45.16	33.71	6.82
1217.601	49.76	41.42	47.21	8.44
1218.211	50.62	35.92	-71.33	7.90
1218.626	48.57	32.93	-51.19	8.59
1219.586	48.31	34.16	-3.95	6.59
1219.923	34.43	43.31	7.53	7.39
1220.209	30.92	44.01	6.00	9.38
1220.611	27.99	45.05	5.18	9.62
1220.882	25.65	46.06	1.91	9.30
1221.170	23.06	46.28	2.53	9.51
1221.651	18.32	50.59	9.70	7.40
1221.986	12.52	52.51	-31.18	8.38
1222.258	10.90	51.55	-52.60	8.23
1222.738	9.93	49.56	-81.08	9.01
1223.010	9.32	47.64	79.27	8.12
1223.491	22.00	46.64	23.23	6.69
1223.843	39.07	38.37	58.67	7.39
1224.115	46.06	29.53	56.64	6.90
1224.658	48.11	13.90	-63.92	7.90
1224.931	46.33	12.19	-47.45	7.83
1225.218	42.88	10.11	-26.21	7.68
1225.699	38.27	8.94	-15.26	7.77
1226.242	38.37	11.47	42.91	7.17
1226.787	26.32	39.01	54.01	7.17
1227.059	17.32	51.14	26.96	6.74
1227.539	14.28	51.91	-43.61	7.75
1227.890	11.55	49.45	-55.48	7.71
1229.266	17.78	47.67	30.27	6.59
1229.747	42.40	35.66	48.90	6.82
1230.018	46.25	27.91	83.15	6.93
1230.291	46.45	18.24	-64.97	7.42
1230.770	43.96	15.97	-26.19	8.11
1231.107	39.75	15.23	-12.69	7.14
1231.665	26.55	17.47	16.70	7.49
1232.002	23.67	18.77	10.75	6.92
1233.170	25.80	23.24	-88.57	7.52
1233.650	33.45	45.81	-72.40	7.23
1234.002	46.25	55.58	-11.65	6.74
1234.338	52.65	55.39	43.31	7.86
1235.571	51.82	50.33	-77.32	7.92
1235.922	50.81	48.89	-72.51	8.26
1236.258	48.78	42.55	-70.99	7.43
1236.675	45.29	20.94	-82.82	6.86
1237.011	44.05	10.51	-53.89	7.12
1237.906	37.84	11.12	2.62	6.87
1238.259	23.73	11.95	7.83	7.57
1238.739	14.57	25.48	68.61	7.65
1239.073	9.09	45.52	75.77	7.60
1239.554	8.36	54.17	-56.22	7.77
1239.826	14.51	56.17	-9.81	7.34
1240.177	33.15	56.79	18.48	6.98
1240.659	39.26	51.59	70.44	7.69
1242.163	39.82	40.26	-74.34	7.65
1242.643	36.68	28.97	-83.55	7.25
1242.915	35.98	18.51	-89.13	7.13
1243.266	34.56	12.46	-60.23	7.72
1243.747	27.00	7.43	-7.45	7.60
1244.834	26.11	6.96	-30.44	6.31
1246.754	33.13	23.92	-73.21	7.14
1247.042	37.10	39.97	-83.37	7.15
1247.586	37.71	48.99	-81.10	7.33
1248.195	40.84	50.91	-43.13	7.45
1248.754	49.83	53.30	48.13	7.75
1249.090	50.73	49.78	83.36	7.33
1249.650	50.22	45.98	-70.19	8.23
1250.402	44.31	39.93	-48.00	7.59
1250.946	41.09	36.16	-50.64	7.41
1251.218	36.74	33.91	-31.43	7.53
1251.777	34.36	32.99	-23.80	6.90
1252.659	26.55	37.96	21.27	7.35
1253.009	10.81	50.36	37.78	7.41
1253.347	2.59	56.01	-49.38	7.31
1253.826	3.47	52.91	64.14	8.06
1254.179	4.81	51.02	29.03	7.14
1254.657	14.80	50.36	27.57	7.56
1255.827	21.25	51.66	11.37	6.56
1256.162	40.89	43.35	52.22	7.13
1256.707	51.59	23.88	59.74	7.36
1257.058	53.69	13.02	-76.37	7.32
1257.394	50.05	8.81	-35.52	7.87
1257.955	46.05	7.75	-9.62	7.28
1258.226	34.32	8.18	7.59	7.05
1258.834	33.04	8.66	28.60	7.53
1259.185	27.85	21.46	61.80	7.12
1259.666	23.87	45.32	-86.66	7.44
1260.002	32.89	54.80	-35.95	7.42
1260.353	48.27	57.04	17.68	6.90
1260.834	52.14	53.60	57.46	7.67
1261.714	52.03	43.11	-72.67	8.02
1262.609	49.89	38.52	-63.48	7.44
1262.884	45.43	29.35	-61.78	7.29
1263.235	40.61	22.06	-47.75	8.40
1264.803	36.32	20.14	-28.18	7.54
1265.155	29.02	17.59	-4.53	7.33
1265.635	18.03	17.48	7.62	7.64
1266.322	14.37	32.62	68.26	7.17
1266.866	9.92	51.74	-88.87	7.23
1267.219	19.88	54.63	-17.34	6.63
1267.762	46.37	50.00	52.64	7.37
1268.721	46.91	36.71	-84.50	7.78
1269.059	46.24	34.30	-68.49	7.52
1269.618	37.51	19.46	-70.81	7.64
1269.955	33.07	16.94	-34.78	6.59
1270.306	17.94	9.39	-15.06	7.07
1270.787	8.81	12.39	57.53	7.71
1271.059	6.80	26.01	79.46	7.29
1271.603	5.11	45.85	85.07	7.79
1271.939	5.80	53.28	88.92	8.20
1272.771	20.06	57.37	-8.67	7.12
1273.106	39.04	55.92	4.43	6.64
1273.667	49.13	48.91	84.12	8.00
1274.899	45.79	40.86	-63.85	7.26
1275.234	42.74	28.50	-85.56	6.97
1275.794	47.54	8.70	71.55	7.29
1276.194	46.83	9.51	79.84	6.60
1276.755	51.52	5.86	53.45	7.45
1277.635	49.59	6.99	-36.00	6.30
1277.986	40.47	11.84	32.66	7.10
1278.323	37.69	16.40	63.05	7.11
1278.883	38.75	48.56	-70.43	7.29
1279.218	50.47	55.37	4.86	7.08
1279.843	53.23	52.81	72.16	7.81
1280.722	50.27	46.32	-64.58	7.85
1281.697	36.52	44.81	-36.19	7.88
1282.035	34.90	43.68	-43.73	7.89
1282.929	13.64	53.04	-36.81	7.42
1283.266	11.10	50.72	-80.70	7.53
1283.746	12.07	51.27	74.99	7.62
1284.643	38.51	39.80	54.78	6.57
1284.978	41.94	26.08	-45.15	7.21
1285.875	41.38	25.15	-41.20	7.97
1286.227	33.28	13.63	-30.77	6.93
1286.834	12.79	12.47	24.08	7.66
1287.187	8.41	21.06	64.85	8.26
1287.731	5.09	41.38	81.47	7.34
1288.067	6.65	56.18	-47.95	7.62
1288.690	28.34	56.06	3.73	6.62
1289.027	47.95	53.04	38.89	6.58
1289.379	50.22	48.43	-77.26	8.44
1290.962	46.06	32.42	-50.62	8.12
1291.362	38.08	26.51	-40.21	7.40
1291.923	35.12	23.89	-50.75	7.29
1292.258	31.32	15.67	-42.44	6.80
1292.803	15.94	8.59	-3.62	7.05
1293.153	6.96	17.66	70.03	7.59
1293.698	6.70	45.75	89.31	7.64
1294.051	7.96	54.65	-56.19	7.60
1294.386	22.33	57.35	-2.84	6.86
1295.010	49.92	54.13	24.94	7.18
1295.969	49.74	43.44	-77.52	8.00
1297.330	47.97	42.70	-48.42	7.60
1297.954	33.71	34.69	-33.34	8.08
1298.307	31.40	34.11	-13.63	7.02
1298.851	12.04	47.37	-32.43	6.36
1299.267	10.80	46.68	-87.54	7.46
1304.819	11.28	48.22	51.93	6.40
1305.155	35.99	50.75	16.73	5.83
1305.778	47.08	46.39	-66.97	7.80
1309.138	48.62	40.07	-84.43	6.31
1309.683	47.52	29.41	-29.02	8.10
1310.659	38.59	16.85	-20.41	6.63
1311.059	34.01	16.66	45.51	7.68
1311.618	32.45	18.70	59.16	8.21
1311.955	33.88	20.56	-86.77	7.93
1312.290	42.40	45.03	89.94	7.47
1312.850	37.95	55.44	-26.60	7.44
1314.626	39.24	55.27	-66.64	6.25
1315.043	44.90	41.19	-65.11	7.12
1316.003	35.39	46.87	3.38	6.94
1316.354	27.45	47.32	-42.77	7.76
1317.987	11.92	47.94	-67.53	7.92
1318.962	17.16	47.78	28.15	6.67
1319.298	36.17	39.29	52.91	7.54
1319.923	42.27	28.93	-89.18	7.56
1320.323	42.52	20.15	-62.78	8.97
1332.274	35.30	25.58	26.88	7.70
1332.882	46.25	50.21	2.19	5.74
1333.235	51.05	47.59	-82.03	7.62
1337.826	41.02	51.70	-21.32	7.97
1338.723	39.85	51.25	-34.41	8.54
1339.059	39.90	49.03	-85.99	7.49
1339.618	42.93	31.47	-64.24	7.42
1339.954	42.10	28.94	-46.09	8.56
1340.914	37.15	19.84	-50.95	8.30
1341.331	22.67	9.04	-2.48	7.50
1341.811	16.99	11.17	45.22	7.81
1342.225	18.36	11.75	74.16	7.31
1342.770	21.49	19.76	-68.97	8.82
1343.187	39.06	22.14	-33.79	6.03
1343.730	50.30	54.10	26.04	6.75
1345.026	50.59	55.07	-2.19	8.18
1347.714	50.20	36.74	-55.56	7.02
1348.051	50.02	35.30	-44.03	7.82
1348.674	45.24	16.74	-11.26	8.66
1349.363	34.95	11.92	-0.71	8.41
1349.971	31.31	15.13	52.78	8.45
1350.866	38.39	23.38	-72.36	7.15
1351.203	46.03	43.21	83.42	7.27
1351.827	45.04	49.63	29.28	7.55
1352.163	46.37	54.72	77.68	6.82
1352.786	44.73	57.11	0.76	7.09
1353.122	40.44	56.29	-45.15	7.61
1354.019	41.85	55.46	-84.24	7.45
1354.370	45.88	43.17	-69.54	7.05
1354.915	43.60	39.30	-37.66	8.10
1355.331	44.47	31.89	-71.39	6.25
1355.939	41.31	22.65	-21.98	7.66
1356.291	33.25	21.15	-6.79	7.99
1356.978	30.37	20.67	-0.08	8.32
1358.003	21.59	11.45	-6.48	7.31
1358.417	14.42	16.58	57.22	7.86
1358.963	13.80	26.57	-89.98	8.50
1359.314	14.66	40.05	-76.43	7.90
1359.922	37.03	54.64	9.59	6.99
1360.275	46.78	49.10	82.96	7.44
1360.818	46.78	47.07	-80.13	7.77
1361.155	46.15	29.43	-71.65	7.22
1361.715	37.33	15.56	-48.16	7.07
1362.114	20.75	6.41	12.55	6.71
1362.883	17.97	7.35	29.64	7.69
1363.907	23.59	16.04	-75.20	8.63
1364.866	50.50	23.86	-75.86	6.67
1365.282	50.45	41.18	63.21	7.09
1365.826	47.24	51.11	-1.57	8.80
1367.810	41.22	51.48	-8.11	9.43
1368.227	37.55	51.30	-7.95	9.50
1368.914	46.78	38.66	86.11	6.86
1369.330	48.04	34.05	-77.98	8.47
1369.938	45.59	12.24	-28.19	7.48
1370.290	34.39	9.81	14.15	7.16
1370.978	21.86	13.93	57.61	7.89
1371.315	21.15	15.82	63.89	8.59
1371.939	33.62	36.04	-64.74	7.27
1372.338	47.85	55.06	-11.46	6.99
1373.027	52.27	54.40	56.97	7.68
1373.987	50.75	48.96	-65.20	7.99
1374.339	49.92	47.50	-54.31	7.52
1375.778	42.23	32.58	-46.83	7.91
1376.194	36.35	28.80	-33.93	7.62
1376.739	22.53	23.31	-24.77	8.90
1377.075	17.87	21.01	-31.50	8.92
1377.698	15.68	19.33	-39.54	7.51
1378.114	12.77	21.79	38.10	7.82
1378.658	12.84	47.73	-55.76	6.89
1378.995	28.69	52.76	-0.56	6.67
1379.346	46.04	48.57	63.23	7.02
1379.971	46.40	41.77	-70.77	7.54
1380.370	45.42	40.64	-56.66	7.87
1380.931	46.28	38.87	-81.53	7.30
1381.267	43.61	18.73	-60.58	7.07
1381.891	22.61	10.01	5.96	6.91
1382.289	15.66	15.98	60.46	7.59
1382.978	7.94	48.88	77.31	7.99
1383.330	7.20	52.01	84.73	7.42
1384.018	9.18	53.96	-27.49	9.21
1384.354	11.78	54.76	-27.83	9.89
1385.043	14.53	56.94	-31.31	10.39
1385.666	13.61	54.82	17.53	7.72
1386.066	14.18	52.13	46.36	7.19
1386.690	41.72	22.18	9.63	6.29
1387.107	55.01	29.09	73.15	7.15
1387.714	50.79	53.30	48.36	7.02
1388.066	48.51	56.35	-14.43	7.78
1389.234	44.66	55.24	-17.73	8.07
1390.194	45.85	54.95	75.91	6.77
1391.971	51.51	38.59	-63.44	7.76
1393.074	49.80	25.26	-69.67	7.26
1393.762	35.13	10.36	-7.27	7.23
1394.242	24.00	8.90	4.56	8.27
1394.850	22.06	21.93	89.61	7.65
1395.266	24.20	26.05	-80.32	7.95
1395.890	47.54	49.27	79.58	6.56
1396.290	39.64	56.71	-24.06	7.56
1398.082	44.26	46.49	-78.73	6.93
1398.770	42.69	44.63	-22.74	7.82
1399.171	31.47	43.20	-7.53	8.13
1399.858	26.43	42.92	-45.47	7.41
1400.338	23.84	47.34	31.40	7.66
1401.026	6.74	51.59	89.47	7.54
